/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_8_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_8_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_9_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/R2_9_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E1_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E1_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E2_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E2_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E3_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E3_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E5_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E5_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E6_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E6_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E7_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E7_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E8_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_E8_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L1_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L1_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L2_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L2_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L3_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L3_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L4_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L4_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L5_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L5_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L6_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L6_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L7_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L7_trimmed_2.fq.gz
/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L8_trimmed_1.fq.gz,/Volumes/csce/biology/groups/matthews/guy/Raw_data/vsg/trimmed/WT_L8_trimmed_2.fq.gz
